fixture_id,date,referee,home_team,away_team,home_goals,away_goals,home_corners,away_corners,total_corners,home_cards,away_cards,total_cards
974350,2023-02-10 01:05:00+00:00,J. Lopez,Club Queretaro,Leon,0,3,5,8,13,3,3,6
974351,2023-02-10 03:05:00+00:00,Ó. Mejía,Atlas,Monterrey,0,2,5,4,9,1,3,4
974352,2023-02-11 01:00:00+00:00,E. Morales,Puebla,Mazatlán,3,1,3,7,10,0,1,1
974353,2023-02-11 03:10:00+00:00,L. Santander,Club Tijuana,Atletico San Luis,1,0,7,4,11,2,4,6
974354,2023-02-11 23:00:00+00:00,I. Lopez,Club America,Necaxa,2,1,4,5,9,4,5,9
974355,2023-02-12 01:05:00+00:00,G. Pacheco,FC Juarez,Santos Laguna,3,1,9,6,15,0,3,3
974356,2023-02-12 01:05:00+00:00,F. Hernández,Tigres UANL,U.N.A.M. - Pumas,4,2,8,7,15,3,3,6
974357,2023-02-12 03:05:00+00:00,A. Escobedo,CF Pachuca,Guadalajara Chivas,1,1,3,5,8,2,0,2
974358,2023-02-12 18:00:00+00:00,M. Ortíz,Toluca,Cruz Azul,3,1,5,8,13,2,4,6
974359,2023-02-15 01:05:00+00:00,Ó. Macías,Leon,Puebla,2,0,10,3,13,0,5,5
974360,2023-02-15 01:05:00+00:00,C. Ramos,Tigres UANL,FC Juarez,0,0,3,7,10,2,3,5
974361,2023-02-15 03:05:00+00:00,F. Hernández,Atletico San Luis,Club America,1,3,4,6,10,1,2,3
974362,2023-02-16 01:05:00+00:00,B. González,Monterrey,Club Queretaro,2,0,0,1,1,2,2,4
974363,2023-02-16 01:05:00+00:00,D. Montaño,Guadalajara Chivas,Club Tijuana,2,1,10,3,13,0,2,2
974364,2023-02-16 03:05:00+00:00,F. Guerrero,Necaxa,U.N.A.M. - Pumas,3,1,2,13,15,4,4,8
974365,2023-02-17 03:00:00+00:00,E. Miranda,Mazatlán,CF Pachuca,2,3,4,3,7,2,2,4
974368,2023-02-18 23:00:00+00:00,Ó. Mejía,Atletico San Luis,Santos Laguna,1,1,3,12,15,2,3,5
974369,2023-02-18 01:06:00+00:00,I. Lopez,FC Juarez,Leon,0,0,1,3,4,6,6,12
974370,2023-02-18 03:05:00+00:00,E. Galván,Puebla,Cruz Azul,1,3,2,4,6,3,2,5
974371,2023-02-19 23:06:00+00:00,G. Pacheco,Monterrey,Necaxa,2,1,4,4,8,4,1,5
974372,2023-02-19 01:05:00+00:00,A. Escobedo,Atlas,Tigres UANL,0,1,2,5,7,5,7,12
974373,2023-02-19 03:05:00+00:00,M. Ortíz,U.N.A.M. - Pumas,Guadalajara Chivas,1,2,5,7,12,5,4,9
